Speaker	With	File	Text	Next line	When	Priority	Weight	Command Id	Target / Caster	Status	Items	Abilities	BattleId	Scenario Min	Scenario Max	Context Flags	Player Solo	Player Team	Enemy Solo	Enemy Team	Self	Enemy	Ally	Single	Multi	Hit	Miss	Dodge	Crit	Hp	Mp	Front Attack	Preemptive	Back Attack	Friendly Battle	Non Friendly Battle	Serious	Boss
Vivi		Blizzard Scared 2	I'm sorry this will be cold.		CommandPerform							Blizzard, Blizzara, Blizzaga																										
Vivi		Change Back 1	This is better.		ChangeBack																																	
Vivi		Change Front 1	Maybe here.		ChangeFront																																	
Vivi		Damage 1			Damaged																																	
Vivi		Damage 2			Damaged																																	
Vivi		Damage 3			Damaged																																	
Vivi		Damage 4			Damaged																																	
Vivi		Death 1	Oh no...		Added					Death																												
Vivi		Death 2	Oh no...		Added					Death																												
Vivi		Death 3			Added					Death																												
Vivi		Ejected			Ability		0																															
Vivi		Fire 1	Fire.		CommandPerform							Fire, Fira, Firaga																										
Vivi		Fire 2	Fire.		CommandPerform							Fire, Fira, Firaga																										
Vivi		Fire Scared 1	Okay.. Fire.		CommandPerform							Fire, Fira, Firaga																										
Vivi		Fire Scared 2	Hum.. I'll cast fire.		CommandPerform							Fire, Fira, Firaga																										
Vivi		Fire Scared 3	I got to burn you, sorry.		CommandPerform							Fire, Fira, Firaga																										
Vivi		Focus 1	Focus.		CommandPerform							Focus																										
Vivi		Focus 2	Focus.		CommandPerform							Focus																										
Vivi		Focus 3	Hmmmmmmmm!!!		CommandPerform							Focus																										
Vivi		Focus Scared 1	Okay Vivi, you can do it. Focus.		CommandPerform							Focus																										
Vivi		Healed 1			Healed																				x													
Vivi		Healed 2	Much better!		Healed																				x													
Vivi		Healed Ally 1	Thanks!		Healed																x																	
Vivi		Intro 1	Here we go!		BattleStart																													x	x			x
Vivi		Potion 1	Here you are!		CommandPerform			Item																														
Vivi		Potion 2	Oh you have an owie, here you are!		CommandPerform			Item			Potion, HiPotion, PhoenixDown, PhoenixPinion																											
Vivi		Potion 3	I - I'll try to help you.		CommandPerform			Item																														
Vivi		Revived 1	Okay I'm up!		Removed					Death																												
Vivi		Revived 2	Ah uh... Im up, I'm up!		Removed					Death																												
Vivi		Revived 3	Oh.. I - I'll try again.		Removed					Death																												
Vivi		Trance 1	I got to believe in myself!		TranceEnter																																	
Vivi		Trance 2	I will do my best!		TranceEnter																																	
Vivi		Victory 1	We did it!		VictoryPose																														x			
Vivi		Victory 2	Yipee!		VictoryPose																														x			
Vivi		Victory 3	Woohoo!		VictoryPose																														x			
Vivi		Victory 4	Now I want some ice cream!		VictoryPose																														x			
!Vivi:LowHP		Victory Low HP 1	That was close...		VictoryPose		1000																												x			
!Vivi		Intro 3rd Black Waltz 1	You scumbag! They weren't worthless!		BattleStart	1000	-100						296																									
Vivi		Trance 3rd Black Waltz 1	I'm. Not. Worthless!		TranceEnter		-100						296																									
Vivi		Fire 3rd Black Waltz 1	Incinerate...		CommandPerform		200					Fire, Fira, Firaga	296																									
Vivi		Fire 3rd Black Waltz 2	Burn...		CommandPerform		200					Fire, Fira, Firaga	296																									
Vivi		Ice 3rd Black Waltz 1	Shatter...		CommandPerform		200					Blizzard, Blizzara, Blizzaga	296																									
Vivi		Ice 3rd Black Waltz 2	Freeze...		CommandPerform		200					Blizzard, Blizzara, Blizzaga	296																									
Vivi		Thunder 3rd Black Waltz 1	Vaporize...		CommandPerform		200					Thunder, Thundara, Thundaga	296																									
Vivi		Thunder 3rd Black Waltz 2	Become dust...		CommandPerform		200					Thunder, Thundara, Thundaga	296																									
Vivi		Magic 3rd Black Waltz 1	I'll end you...		CommandPerform			BlackMagic, DoubleBlackMagic					296																									
Vivi		Magic 3rd Black Waltz 2	Taste your own medicine...		CommandPerform			BlackMagic, DoubleBlackMagic					296																									
Vivi		Magic 3rd Black Waltz 3	See how you like it...		CommandPerform			BlackMagic, DoubleBlackMagic					296																									
Vivi		Magic 3rd Black Waltz 4	This will hurt...		CommandPerform			BlackMagic, DoubleBlackMagic					296																									
Garnet		Attack 1			HitEffect			Attack																														
Garnet		Attack 2			HitEffect			Attack																														
Garnet		Attack 3			HitEffect			Attack																														
Garnet		Attack 4			HitEffect			Attack																														
Garnet		Attack 5			HitEffect			Attack																														
$!:	!Garnet:Blind	Garnet/Attack Blind 1	So that's where you've been.		Damaged			Attack	Garnet																x		x	x										
Garnet		Cure Steiner 1	On your feet Steiner!		CommandPerform			WhiteMagicGarnet, Item	Steiner		Potion, HiPotion, PhoenixDown, PhoenixPinion	Void, Cure, Cura, Curaga, Life, FullLife										x	x		x													
Garnet		Cure Steiner 2	You can't protect me if you're on the ground now, can you?		CommandPerform			WhiteMagicGarnet, Item	Steiner		Potion, HiPotion, PhoenixDown, PhoenixPinion	Void, Cure, Cura, Curaga, Life, FullLife									x	x			x													
Garnet		Cure Vivi 1	Don't worry Vivi, it will be okay.		CommandPerform			WhiteMagicGarnet, Item	Vivi			Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Cure Vivi 2	Do not lose hope now.		CommandPerform			WhiteMagicGarnet, Item	Vivi			Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Cure Vivi 3	Don't be discouraged.		CommandPerform			WhiteMagicGarnet, Item	Vivi			Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Cure Zidane 1	Where would you be without me?		CommandPerform			WhiteMagicGarnet, Item	Zidane			Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Cure Zidane 2	I thought you could do better than that.		CommandPerform			WhiteMagicGarnet, Item	Zidane		Potion, HiPotion, PhoenixDown, PhoenixPinion	Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Cure Zidane 3	Doing okay there Zidane?		CommandPerform			WhiteMagicGarnet, Item	Zidane			Void, Cure, Cura, Curaga, Panacea, Stona, Esuna, Life, FullLife									x	x			x													
Garnet		Damage 1			Damaged																																	
Garnet		Damage 2			Damaged																																	
Garnet		Damage 3			Damaged																																	
Garnet		Damage 4			Damaged																																	
Garnet		Damage 5			Damaged																																	
Garnet		Damage 6			Damaged																																	
Garnet		Death 1	I mustn't...		Added					Death																												
Garnet		Death 2	I can't...		Added					Death																												
Garnet		Death 3	Not.. now...		Added					Death																												
Garnet		Death 4	It... can't...		Added					Death																												
Garnet		Death 5	I've... failed...		Added					Death													x															
Garnet		Death 6	I'm... sorry...		Added					Death													x															
Garnet		Death 7	No...		Added					Death																												
Garnet		Death 8	Why...		Added					Death																												
Garnet		Death 9	This.. can't.. be.		Added					Death																												
Garnet		Death 10	I.. refuse...		Added					Death																												
Garnet		Death 11	Not like this...		Added					Death																												
Garnet		Death 12	I wont...		Added					Death																												
Garnet		Death 13	I must.. get stonger.		Added					Death													x															
Garnet		Death 14			Added					Death																												
!Zidane	Garnet	Garnet/Dodge+Zidane 1_A	Ooh! Nice moves!	Garnet/Dodge+Zidane 1_B	Dodged																																	
Garnet		Garnet/Dodge+Zidane 1_B	I did practice to escape the castle after all.		Chain																																	
Garnet		Dodge 1			Dodged																																	
Garnet		Dodge 2	That was close.		Dodged, Missed																				x													
Garnet		Heal 1	I shan't give up!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 2	We can win this!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 3	Stand up team!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 4	We are not done yet!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 5	This isn't over!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 9	Keep fighting, team!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 10	Stand tall, everyone!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 11	You will not hurt my friends!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 12	Together, we are strong!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 13	You can not defeat us!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 14	I will protect everyone!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 15	I'll keep us safe!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 16	Can't take us down!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 17	Thought you had us? Think again!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 18	We can't fail!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 19	Everyone, trust in me.		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal 20	Focus on fighting, I've got this!		CommandPerform			WhiteMagicGarnet													x	x		x														
Garnet		Heal Self 1	Just a little top up.		CommandPerform			WhiteMagicGarnet, Item			Potion, HiPotion	Void, Cure, Cura, Curaga										x	x		x													
Garnet		Heal Self 2	I'll be fine, don't worry.		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna										x	x		x													
Garnet		Heal Self 3	You cannot hurt me.		CommandPerform			WhiteMagicGarnet, Item			Potion, HiPotion	Void, Cure, Cura, Curaga										x	x		x													
Garnet		Heal Self 4	Oh, thank you Dagger.		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna										x	x		x													
Garnet		Heal Self 8	Nice try, but I'm better.		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Heal Self 9	You can't hurt me!		CommandPerform			WhiteMagicGarnet, Item			Potion, HiPotion	Void, Cure, Cura, Curaga		2540																								
Garnet		Heal Self 10	I won't go down that easy!		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Heal Self 11	I'll be fine, don't worry!		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Heal Self 13	This is nothing!		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Heal Self 14	An easy fix!		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Heal Self 15	Thought you had me, didn't you?		CommandPerform			WhiteMagicGarnet, Item				Void, Cure, Cura, Curaga, Panacea, Esuna		2540																								
Garnet		Sleepy 1	Can't seem to keep my eyes open.		Added					Sleep																												
Garnet		Sleepy 2			Added					Sleep																												
Garnet		Sleepy 3	So tired...		Added					Sleep																												
Garnet		Healed 1	Whew.		Healed																x	x																
Garnet		Healed 2	You have my gratitude.		Healed																x	x																
Garnet		Healed 3	Thank you!		Healed																x	x																
Garnet		Healed 4	That's better!		Healed																x	x																
Garnet		Healed 5	Aaah! Thank you.		Healed																x	x																
Garnet		Healed 6	You have my thanks.		Healed																x	x																
Garnet		Healed 7	You have my gratitude.		Healed																x	x																
Garnet		Intro 1	Please, let us pass.		BattleStart																												x					x
Garnet		Intro 2	Everyone, please take care!		BattleStart																												x					x
Garnet		Intro 3	We can do this, together.		BattleStart																												x					x
Garnet		Intro 4	We must remain calm.		BattleStart																												x					x
Garnet		Intro 5	This isn't good.		BattleStart																											x	x					x
Garnet		Kill 1	I am sorry but I must.		KillEffect																x		x															
Garnet		Kill 2	Please forgive me.		KillEffect																x																	
Garnet		Kill 3	I don't blame you...		KillEffect																x		x															
Garnet		Kill 4	Please.. rest		KillEffect																x																	
Garnet:Blind		Kill Blind 1	Found you!		KillEffect																x		x		x													
Garnet:Blind		Kill Blind 2	Finally...		KillEffect																x		x															
Garnet:Blind		Kill Blind 3	No more hiding!		KillEffect																x		x															
Garnet		Low HP 1	I am okay, do not worry.		Added					LowHP																												
Garnet		Low HP 2	I must persevere.		Added					LowHP																												
Garnet		Low HP 3	This shall not stop me.		Added					LowHP																												
Garnet		Low HP 4	Must, continue...		Added					LowHP																												
Garnet		Low HP 5	Do not fret, I'm fine.		Added					LowHP																												
Garnet		Low HP 9	I just need a minute...		Added					LowHP				2540																								
Garnet		Low HP 10	Nothing I can't fix...		Added					LowHP				2540																								
Garnet		Low HP 11	I can't give up...		Added					LowHP				2540																								
Garnet		Low HP 12	This is nothing...		Added					LowHP				2540																								
Garnet		Low HP 13	I'm fine.. don't worry.		Added					LowHP				2540																								
Garnet		Low HP 14	Not good...		Added					LowHP				2540																								
Garnet		Low HP 15	Don't count me out.		Added					LowHP				2540																								
Garnet		Low HP 16	I am not afraid.		Added					LowHP				2540																								
Garnet		Low HP 17	This wont stop me.		Added					LowHP				2540																								
Garnet		Low HP 18	Easy fix..		Added					LowHP				2540																								
Garnet		Low HP 19	Not a problem..		Added					LowHP				2540																								
Garnet		Low HP 20	A mild inconvenience..		Added					LowHP				2540																								
Garnet		Low HP 21	I'm not done yet.		Added					LowHP				2540																								
Garnet		Low HP 23	Not yet...		Added					LowHP				2540																								
Garnet		Low HP 24	I can do this.		Added					LowHP				2540																								
Garnet		Low HP 25	Not a bad shot..		Added					LowHP				2540																								
Garnet		Low HP 26	Sure.. target the healer..		Added					LowHP				2540																								
Garnet		Low HP 28	How.. dare you..		Added					LowHP				2540																								
Garnet		Miss 1	How dare you!		DodgeEffect, MissEffect																x		x		x													
Garnet		Miss 2	I order you to stand still!		DodgeEffect, MissEffect																x		x		x													
Garnet		Miss 3	How rude!		DodgeEffect, MissEffect																x		x		x													
Garnet		Miss 4	No manners at all.		DodgeEffect, MissEffect																x		x		x													
Garnet		Miss 8	Seriously?		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 9	That isn't funny!		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 10	Stand still!		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 11	How embarrassing..		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 12	Need to work on my aim..		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 13	Let's not do that again..		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 14	How inconvenient		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Miss 15	Typical..		DodgeEffect, MissEffect									2540							x		x		x													
Garnet:Blind		Miss Blind 3	I really should do something about this.		DodgeEffect, MissEffect									2540							x		x		x													
Garnet:Blind		Miss Blind 4	Why do I even bother?		DodgeEffect, MissEffect									2540							x		x		x													
Garnet:Blind		Miss Blind 5	This is so annoying.		DodgeEffect, MissEffect									2540							x		x		x													
Garnet:Blind		Miss Blind 6	Ahh! I can't see!		DodgeEffect, MissEffect									2540							x		x		x													
Garnet		Trance 1	I will protect everyone!		TranceEnter																																	
Garnet		Trance 2	I will not let you do this!		TranceEnter																																	
Garnet		Trance 3	No! No more!		TranceEnter																																	
Garnet		Trance 4	I will allow this no more!		TranceEnter																																	
Garnet		Trance 5	I will not allow this to go on!		TranceEnter																																	
Garnet		Victory 1	Be careful, there may be more.		VictoryPose												x																		x			
Garnet		Victory 2	Seems we make quite the team.		VictoryPose												x																		x			
Garnet		Victory 3	Is everyone okay?		VictoryPose												x																		x			
Garnet		Victory 4	Please, forgive me.		VictoryPose																														x			
!Garnet		Intro 2nd Black Waltz 1	Leave us at once!		BattleStart	1000	-100						294																									
!Garnet		Intro 2nd Black Waltz 2	Why are you here? Tell me!		BattleStart	1000	-100						294																									
!Garnet		Intro 2nd Black Waltz 3	You will NOT take me back to the castle.		BattleStart	1000	-100						294																									
Marcus		Attack 1			HitEffect			Attack																					x									
Marcus		Attack 2			HitEffect			Attack																					x									
Marcus		Attack 3			HitEffect			Attack																					x									
Marcus		Attack 4	Watch closely.		HitEffect			Attack													x		x				x	x	x									
Marcus		Attack 5			HitEffect			Attack																					x									
Marcus		Attack 6			HitEffect			Attack																					x									
Marcus		Crit 1			HitEffect			Attack																		x	x	x										
Marcus		Crit 2			HitEffect			Attack																		x	x	x										
Marcus		Crit 3			HitEffect			Attack																		x	x	x										
Marcus		Damage 1	You will pay for that.		Damaged																x		x		x	x	x	x										
Marcus		Damage 2			Damaged																																	
Marcus		Damage 3			Damaged																																	
Marcus		Damage 4			Damaged																																	
Marcus		Damage 5			Damaged																																	
Marcus		Damage 6			Damaged																																	
Marcus		Death 1	God.. dammit.		Added					Death																												
Marcus		Dodge 1	Ha, as if.		Dodged, Missed																				x													
Marcus		Intro 1	No holding back.		BattleStart																													x	x			
Marcus		Kill 1	Got you right there!		KillEffect																x		x															
Marcus		Kill 2	So weak.		KillEffect																x		x															
Marcus		Kill 3	You're history.		KillEffect																x		x															
Marcus		Kill 4	Meet your maker!		KillEffect																x		x															
Marcus		Low HP 1	Don't push you luck.		Added					LowHP											x		x															
Marcus		Poly 1	Bright light, shine down on bloody impurity! Poly!		CommandPerform							Poly																										
Marcus		Poly 2	Bathe in the light! Poly!		CommandPerform							Poly																										
Marcus		Potion 1	Focus buddy.		CommandPerform			Item													x	x			x													
Marcus		Victory 1	Not too shabby.		VictoryPose																														x			
Marcus		Victory 2	That's, that.		VictoryPose																														x			
Cinna		Attack Ally 1	Duh, Sorry!		HitEffect			Attack													x	x			x													
Cinna		Attack Ally 2	Maybe I should wear guh-lass-es.		HitEffect			Attack													x	x			x													
Cinna		Attack Ally 3	I - uh.. meant to do that.		HitEffect			Attack													x	x			x													
Cinna		Change Back 1	Give me a little space.		ChangeBack																																	
Cinna		Change Back 2	I'll stand back here real quick.		ChangeBack																																	
Cinna		Change Back 3	I'll go ahead and step back.		ChangeBack																																	
Cinna		Change Front 1	Front row ticket baby!		ChangeFront																																	
Cinna		Crit 1	The Hammer- Tolls?		HitEffect																					x	x	x										
Cinna		Crit 2	Nail on the head!		HitEffect																					x	x	x										
Cinna		Death 1	It.. was.. fun..		Added					Death																												
Cinna		Death 2	Oh it was fun you guys.		Added					Death																												
Cinna		Defend 1	Try and break through this.		CommandPerform			Defend																														
Cinna		Defend 2	Ye ain't getting through.		CommandPerform			Defend																														
Cinna		Dodge 1	You can't see me.		DodgeEffect																				x													
Cinna		Game Over 1	It.. was.. fun you.. gu-.		GameOver, Defeated																																	
Cinna		Game Over 2	Maybe you should've healed.		GameOver, Defeated																																	
Cinna		Game Over 3	You can't teach a man to fish in someone else's shoes.		GameOver, Defeated																																	
Cinna		Intro 1	You have my hammer, but not really.		BattleStart																													x	x			
Cinna		intro 2	Fine, I'll help...		BattleStart																													x	x			
Cinna		Intro 3	I mean you can do it without me I guess...		BattleStart																													x	x			
Cinna		Kill 1	Your time is up, my time is now!		KillEffect																x		x															
Cinna		Kill 2	Whew, about time!		KillEffect																x		x															
Cinna		Kill 3	Eyy I got one!		KillEffect																x		x															
Cinna		Low HP 1	Okay, okay! Stop hitting me.		Added					LowHP											x																	
Cinna		Low HP 2	A little help!		Added					LowHP																												
Cinna		Low HP 3	Hey, a little help over here.		Added					LowHP																												
Cinna		Low HP 4	Ow that hurts.		Added					LowHP																												
Cinna		Miss 1	Stand still would ya!		MissEffect																x		x															
Cinna		Miss 2	Gimme a break..		MissEffect																x		x															
Cinna		Miss 3	Oh boy..		MissEffect																x		x															
Cinna		Miss 4	Ugh, you're the worst.		MissEffect																x		x															
Cinna		Potion 1	Don't you die on me!		CommandPerform			Item													x	x																
Cinna		Potion 2	You need to stay up.		CommandPerform			Item													x	x																
Cinna		Potion 3	I can't do this alone.		CommandPerform			Item													x	x																
Cinna		Potion Self 1	Ya can't spell win without I.		CommandPerform			Item														x	x															
Cinna		Potion Self 2	Ya can't spell I without win... Wait...		CommandPerform			Item														x	x															
Cinna		Potion Self 3	Ya can't spell win without I... Or Cinna.		CommandPerform			Item														x	x															
Cinna		Revived 1	You're a life saver!		Removed					Death																												
Cinna		Revived 2	I owe you one.		Removed					Death																												
Cinna		Steal 1	I'll take that.		StealSuccess																																	
Cinna		Steal 2	Thank you.		StealSuccess																																	
Cinna		Steal 3	That's mine now.		StealSuccess																																	
Cinna		Steal 4	I'm in ya pockets!		StealSuccess																																	
Cinna		Steal 5	Hey I got something!		StealSuccess																																	
Cinna		Steal Fail 1	Failure.		StealFail																																	
Cinna		Steal Fail 2			StealFail																																	
Cinna		Steal Nothing 1	He ain't got nothing.		StealEmpty																																	
Cinna		Steal Nothing 2	I think we robbed him dry.		StealEmpty																																	
Cinna		Victory 1	Ta-ta-la-taaaa.		VictoryPose																																	
Cinna		Victory 2	We did it? I mean, WE DID IT!		VictoryPose																																	
Cinna		Victory 3	I mean, was there ever any doubt?		VictoryPose																																	
Cinna		Pyro 1	Destruction of nature gather in flame. Pyro!		CommandPerform							Pyro																										
Cinna		Pyro 2	Out of the ground, raze all greenery with flame. Pyro!		CommandPerform							Pyro																										
Cinna		Pyro 3	D'oh boss, I forgot my line.		CommandPerform							Pyro																										
Cinna		Stage Death 1	What was ne- I am dead.		Added	1				Death			338																									
Cinna		Stage Death 2	Good bye world... Heh.		Added	1				Death			338																									
Cinna		Stage Death 3	I have.. fallen in battle.		Added	1				Death			338																									
Cinna		Stage Death 4	I am dead.. now.		Added	1				Death			338																									
Cinna		Stage Death 5	Fate is cru-uh-el.		Added	1				Death			338																									
Blank		Attack 1			HitEffect			Attack																					x									
Blank		Crit 1			HitEffect			Attack																		x	x	x										
Blank		Damage 1			Damaged																																	
Blank		Damage 2			Damaged																																	
Blank		Damage 3			Damaged																																	
Blank		Damage 4			Damaged																																	
Blank		Healed 1	I'm fine...		Healed																x	x			x													
Blank		Healed 2	I guess it can't be helped.		Healed																x	x			x													
Blank		Intro 1	Yeah yeah, let's do it...		BattleStart																													x	x			
Blank		Intro 2	You're gonna prove yourself, right?		BattleStart																													x	x			
Blank		Kill 1	Next...		KillEffect																x		x															
Blank		Low HP 1	Can we not..		Added					LowHP											x																	
Blank		Miss 1			MissEffect																x	x			x													
Blank		Pyro 1	Smoldering flames far below, punish the wicked, Pyro!		CommandPerform							Pyro																										
Blank		Pyro 2	Star fire awaken and deliver your judgement,  Pyro!		CommandPerform							Pyro																										
Blank		Revived 1	Don't count me out.		Removed					Death																												
Blank		Revived 2	You won't stop me with that.		Removed					Death																												
Blank		Reviving 1	You're gonna get up and try again, right?		CommandPerform			Item			PhoenixDown, PhoenixPinion																											
Blank		Reviving 2	Snap out of it.		CommandPerform			Item			PhoenixDown, PhoenixPinion																											
Blank		Reviving Zidane 1	And here I thought you were the leading man.		CommandPerform			Item			PhoenixDown, PhoenixPinion																											
Blank		Victory 1	Better luck next time.		VictoryPose																																	
Blank		Victory 2	Is that it?		VictoryPose																																	
Blank		Victory 3	I can't help but win, really.		VictoryPose																																	
Blank		Victory 4	Losing wasn't in the plan.		VictoryPose																																	
338:359		Baku/Poly 1	Heaven's wish to destroy all minds... Poly Explosion!		CommandPerform		-100					1																										
338:359		Baku/Poly 2	Simmering life light, be a tower of power! Poly!		CommandPerform		-100					1																										
338:359		Baku/Attack 3	$Taste steel!		CommandPerform		-100					0																										
336:428		Baku/Attack 1	$Get some!		CommandPerform		-100					0																										
336:428		Baku/Attack 2	$Gwahaha!		CommandPerform		-100					1																										
295:301		Baku/Attack 4	$Rrrragh!		CommandPerform		0					0																										
295:301		Baku/Attack 5	$Gwahaha!		CommandPerform		-100					1																										
295:301		Baku/Attack 6	$Bring it on!		CommandPerform		-100					3																										
295:301		Baku/Attack 7			HitEffect		-100					3																										
Quina		Attack 1			HitEffect			Attack																					x									
Quina		Attack 2			HitEffect			Attack																					x									
Quina		Attack 3			HitEffect			Attack																					x									
Quina		Attack 4			HitEffect			Attack																					x									
Quina		Attack Ally 1	My bad!		HitEffect			Attack														x					x	x										
$!:	!Quina:Blind	Quina/Attack Blind 1	I still smell you!		Damaged	1		Attack	Quina														x															
$!:	!Quina:Blind	Quina/Attack Blind 2	You no hide from me!		Damaged	1		Attack	Quina														x															
$!:	!Quina:Blind	Quina/Attack Blind 3	This no stop me!		Damaged	1		Attack	Quina														x															
$!:	!Quina:Blind	Quina//Attack Blind 4	Nothing stop dinner time!		Damaged	1		Attack	Quina														x															
Quina		Blinded 1	Where everybody go?		Added					Blind																												
Quina		Blinded 2	Helloooo?		Added					Blind																												
Quina		Blinded 3	Where the sun go?		Added					Blind																												
Quina		Blinded 4	Oh, that's mean!		Added					Blind																												
Quina		Blinded 5	Where you go!		Added					Blind																												
Quina		Blinded 6	Guys?		Added					Blind																												
Quina		Cant Eat 1	No eat? Why not?		EatCannot																																	
Quina		Cant Eat 2	I confused? No eat?		EatCannot																																	
Quina		Cant Eat 3	Sorcery!		EatCannot																																	
Quina		Cant Eat 4	That no fair!		EatCannot																																	
Quina		Cant Eat 5	Why I even here?		EatCannot																																	
Quina		Cant Eat 6	Saaaad...		EatCannot																																	
Quina		Cant Eat 7	Stupid rules..		EatCannot																																	
Quina		Change 1	Is there nom-noms over here?		ChangeFront, ChangeBack																																	
Quina		Change 2	Time to move.		ChangeFront, ChangeBack																																	
Quina		Change 3	Maybe this better?		ChangeFront, ChangeBack																																	
Quina		Change 4	How about this?		ChangeFront, ChangeBack																																	
Quina		Change 5	I no like it there.		ChangeFront, ChangeBack																																	
Quina		Cook 1	Time to cook!		CommandPerform		1000	Cook																														
Quina		Counter 1	You done it now!		CommandPerform			Counter																														
Quina		Crit 1			HitEffect																					x	x	x										
Quina		Crit 2			HitEffect																					x	x	x										
Quina		Damage 1	You mean!		Damaged																x				x	x	x	x										
Quina		Damage 2	Ouchies!		Damaged																x				x													
Quina		Damage 3			Damaged																																	
Quina		Damage 4			Damaged																																	
Quina		Damage 5			Damaged																																	
Quina		Damage 6	Why me?		Damaged																x				x	x	x	x										
Quina		Damage 7	I get you for that!		Damaged																x				x	x	x	x										
Quina		Damage 8			Damaged																																	
Quina		Damage 9			Damaged																																	
Quina		Death 1	Need more food...		Added					Death																												
Quina		Death 2	I get you.. next time...		Added					Death																												
Quina		Death 3	Too... hungry...		Added					Death																												
Quina		Death 4	Maybe I for dinner...		Added					Death																												
Quina		Death 5	Sleepy time...		Added					Death																												
Quina		Defend 1	This no fun..		CommandPerform			Defend																														
Quina		Defend 2	No more ouchies!		CommandPerform			Defend																														
Quina		Defend 3	You no see me!		CommandPerform			Defend																														
Quina		Defend 4	You. No. see me!		CommandPerform			Defend																														
Quina		Defend 5	No more!		CommandPerform			Defend																														
Quina		Dodge 1	Ah, ah, aaah.		Dodged, Missed																				x													
Quina		Dodge 2	Nope, bad dinner!		Dodged, Missed																				x													
Quina		Dodge 3	You no eat me, I eat you!		Dodged, Missed																				x													
Quina		Dodge 4	Whoahhhh.		Dodged, Missed																				x													
Quina		Dodge 5	Haha, miss me!		Dodged, Missed																				x													
Quina		Dodge 6	Whoop!		Dodged, Missed																				x													
Quina		Dodge 7	Nope.		Dodged, Missed																				x													
Quina		Eat 1	Time for dinner!		CommandPerform			Eat, Cook																														
Quina		Eat 2	Anybody hungry?		CommandPerform			Eat, Cook																														
Quina		Eat 3	Now for the main course!		CommandPerform			Eat, Cook																														
Quina		Eat 4	Finally, I starving!		CommandPerform		0	Eat, Cook																														
Quina		Eat 5	Bon appetit!		CommandPerform			Eat, Cook																														
Quina		Eat 6	Dinner time!		CommandPerform			Eat, Cook																														
Quina		Eat 7	Nom nom nom!		CommandPerform		0	Eat, Cook																														
Quina		Eat 8	Two pinch of salt, and one you!		CommandPerform			Eat, Cook																														
Quina		Eat 9	Finally, I starving!		CommandPerform		0	Eat, Cook																														
Quina		Eat 10	In the belly you go!		CommandPerform			Eat, Cook																														
Quina		Eat Fail 1	It's rawwwwwww!		EatFail																																	
Quina		Eat Fail 2	Maybe five more minutes.		EatFail																																	
Quina		Eat Fail 3	Is not done yet? Ughh...		EatFail																																	
Quina		Eat Fail 4	Cook faster!		EatFail																																	
